STATION,DATE,SOURCE,LATITUDE,LONGITUDE,ELEVATION,NAME,REPORT_TYPE,CALL_SIGN,QUALITY_CONTROL,WND,CIG,VIS,TMP,DEW,SLP,Wind Speed,Temperature,Extreme_Wind,Extreme_Temp
72406093721,2019-01-01T00:00:00,4,39.1733,-76.684,47.5,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",FM-12,99999,V020,"020,1,N,0015,1","99999,9,9,N","002400,1,9,9","+0072,1","+0072,1","10165,1",1.5,7.2,Non-extreme Wind,Non-Extreme
72406093721,2019-01-01T00:28:00,7,39.1733,-76.684,47.5,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",FM-16,KBWI ,V030,"100,5,N,0015,5","00091,5,M,N","003219,5,N,5","+0072,5","+0072,5","99999,9",1.5,7.2,Non-extreme Wind,Non-Extreme
72406093721,2019-01-01T00:49:00,7,39.1733,-76.684,47.5,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",FM-16,KBWI ,V030,"999,9,C,0000,5","00091,5,W,N","000805,5,N,5","+0070,5","+0070,5","99999,9",0,7,Non-extreme Wind,Non-Extreme
72406093721,2019-01-01T00:54:00,7,39.1733,-76.684,47.5,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",FM-15,KBWI ,V030,"999,9,C,0000,5","00091,5,W,N","000805,5,N,5","+0072,5","+0072,5","10151,5",0,7.2,Non-extreme Wind,Non-Extreme
72406093721,2019-01-01T01:54:00,7,39.1733,-76.684,47.5,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",FM-15,KBWI ,V030,"999,9,C,0000,5","00091,5,W,N","000805,5,N,5","+0078,5","+0078,5","10133,5",0,7.8,Non-extreme Wind,Non-Extreme
72406093721,2019-01-01T02:54:00,7,39.1733,-76.684,47.5,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",FM-15,KBWI ,V030,"080,5,N,0015,5","00091,5,W,N","000805,5,N,5","+0078,5","+0078,5","10120,5",1.5,7.8,Non-extreme Wind,Non-Extreme
72406093721,2019-01-01T03:54:00,7,39.1733,-76.684,47.5,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",FM-15,KBWI ,V030,"999,9,C,0000,5","00122,5,W,N","000805,5,N,5","+0078,5","+0078,5","10108,5",0,7.8,Non-extreme Wind,Non-Extreme
72406093721,2019-01-01T04:06:00,7,39.1733,-76.684,47.5,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",FM-16,KBWI ,V030,"190,5,N,0021,5","00152,5,W,N","000402,5,N,5","+0078,5","+0078,5","99999,9",2.1,7.8,Non-extreme Wind,Non-Extreme
72406093721,2019-01-01T04:20:00,7,39.1733,-76.684,47.5,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",FM-16,KBWI ,V030,"200,5,N,0026,5","00183,5,M,N","001609,5,N,5","+0083,5","+0083,5","99999,9",2.6,8.3,Non-extreme Wind,Non-Extreme
72406093721,2019-01-01T04:32:00,7,39.1733,-76.684,47.5,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",FM-16,KBWI ,V030,"210,5,N,0031,5","00122,5,M,N","002816,5,N,5","+0089,5","+0089,5","99999,9",3.1,8.9,Non-extreme Wind,Non-Extreme
72406093721,2019-01-01T04:54:00,7,39.1733,-76.684,47.5,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",FM-15,KBWI ,V030,"220,5,N,0036,5","00091,5,M,N","002414,5,N,5","+0094,5","+0094,5","10095,5",3.6,9.4,Non-extreme Wind,Non-Extreme
72406093721,2019-01-01T04:59:00,6,39.1733,-76.684,47.5,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",SOD  ,KBWI ,V030,"999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",n/a,n/a,n/a,n/a
72406093721,2019-01-01T04:59:00,6,39.1733,-76.684,47.5,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",SOM  ,KBWI ,V030,"999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",n/a,n/a,n/a,n/a
72406093721,2019-01-01T05:54:00,7,39.1733,-76.684,47.5,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",FM-15,KBWI ,V030,"220,5,N,0046,5","00091,5,M,N","001207,5,N,5","+0106,5","+0106,5","10079,5",4.6,10.6,Non-extreme Wind,Non-Extreme
72406093721,2019-01-01T06:00:00,4,39.1733,-76.684,47.5,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",FM-12,99999,V020,"220,1,N,0046,1","99999,9,9,N","001200,1,9,9","+0106,1","+0106,1","10079,1",4.6,10.6,Non-extreme Wind,Non-Extreme
72406093721,2019-01-01T06:23:00,7,39.1733,-76.684,47.5,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",FM-16,KBWI ,V030,"230,5,N,0062,5","00091,5,M,N","003219,5,N,5","+0122,5","+0122,5","99999,9",6.2,12.2,Non-extreme Wind,Non-Extreme
72406093721,2019-01-01T06:33:00,7,39.1733,-76.684,47.5,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",FM-16,KBWI ,V030,"230,5,N,0072,5","00091,5,M,N","006437,5,N,5","+0128,5","+0128,5","99999,9",7.2,12.8,Non-extreme Wind,Non-Extreme
72406093721,2019-01-01T06:49:00,7,39.1733,-76.684,47.5,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",FM-16,KBWI ,V030,"220,5,N,0057,5","00152,5,M,N","011265,5,N,5","+0130,5","+0130,5","99999,9",5.7,13,Non-extreme Wind,Non-Extreme
72406093721,2019-01-01T06:54:00,7,39.1733,-76.684,47.5,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",FM-15,KBWI ,V030,"220,5,N,0067,5","00152,5,M,N","011265,5,N,5","+0133,5","+0133,5","10071,5",6.7,13.3,Non-extreme Wind,Non-Extreme
72406093721,2019-01-01T07:54:00,7,39.1733,-76.684,47.5,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",FM-15,KBWI ,V030,"220,5,N,0072,5","00335,5,M,N","012875,5,N,5","+0150,5","+0139,5","10064,5",7.2,15,Non-extreme Wind,Non-Extreme
72406093721,2019-01-01T08:54:00,7,39.1733,-76.684,47.5,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",FM-15,KBWI ,V030,"230,5,N,0067,5","00335,5,M,N","014484,5,N,5","+0150,5","+0139,5","10058,5",6.7,15,Non-extreme Wind,Non-Extreme
72406093721,2019-01-01T09:31:00,7,39.1733,-76.684,47.5,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",FM-16,KBWI ,V030,"250,5,N,0051,5","05791,5,M,N","016093,5,N,5","+0150,5","+0139,5","99999,9",5.1,15,Non-extreme Wind,Non-Extreme
72406093721,2019-01-01T09:54:00,7,39.1733,-76.684,47.5,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",FM-15,KBWI ,V030,"240,5,N,0041,5","05791,5,M,N","016093,5,N,5","+0150,5","+0139,5","10059,5",4.1,15,Non-extreme Wind,Non-Extreme
72406093721,2019-01-01T10:54:00,7,39.1733,-76.684,47.5,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",FM-15,KBWI ,V030,"260,5,N,0031,5","06706,5,M,N","016093,5,N,5","+0144,5","+0139,5","10068,5",3.1,14.4,Non-extreme Wind,Non-Extreme
72406093721,2019-01-01T11:54:00,7,39.1733,-76.684,47.5,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",FM-15,KBWI ,V030,"240,5,N,0051,5","07010,5,M,N","016093,5,N,5","+0150,5","+0133,5","10079,5",5.1,15,Non-extreme Wind,Non-Extreme
72406093721,2019-01-01T12:00:00,4,39.1733,-76.684,47.5,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",FM-12,99999,V020,"240,1,N,0051,1","99999,9,9,N","016000,1,9,9","+0150,1","+0133,1","10079,1",5.1,15,Non-extreme Wind,Non-Extreme
72406093721,2019-01-01T12:54:00,7,39.1733,-76.684,47.5,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",FM-15,KBWI ,V030,"250,5,N,0046,5","07010,5,M,N","016093,5,N,5","+0150,5","+0128,5","10089,5",4.6,15,Non-extreme Wind,Non-Extreme
72406093721,2019-01-01T13:54:00,7,39.1733,-76.684,47.5,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",FM-15,KBWI ,V030,"260,5,N,0077,5","07010,5,M,N","016093,5,N,5","+0161,5","+0083,5","10105,5",7.7,16.1,Non-extreme Wind,Non-Extreme
72406093721,2019-01-01T14:54:00,7,39.1733,-76.684,47.5,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",FM-15,KBWI ,V030,"280,5,N,0093,5","05791,5,M,N","016093,5,N,5","+0156,5","+0072,5","10114,5",9.3,15.6,Non-extreme Wind,Non-Extreme
